contrast,treatment,reference,dataset,metric,delta
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Human_Pancreas_3,nmi,0.011323186336469893
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Mouse_Pancreas_1,nmi,-0.013330683419311096
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,PRJNA895163,nmi,-0.02608458394820873
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,TabulaSapiens_Pancreas,nmi,0.0020464757129211586
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Blood_BoneMarrow,ari,-0.0008813208251200466
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Human_Pancreas_1,ari,0.0002297571578089297
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Human_Pancreas_3,ari,0.03844441762768214
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Mouse_Pancreas_1,ari,-0.020729176700707952
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,PRJNA895163,ari,-0.017356997998304258
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,TabulaSapiens_Pancreas,ari,-0.014757206727917804
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Blood_BoneMarrow,f1_macro,-0.00468010500071403
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Human_Pancreas_1,f1_macro,-3.7314021038903356e-05
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Human_Pancreas_3,f1_macro,0.029795047682723563
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Mouse_Pancreas_1,f1_macro,-0.03911306145428717
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,PRJNA895163,f1_macro,-0.02914108923000941
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,TabulaSapiens_Pancreas,f1_macro,0.022176353412524885
topology_affinity_increment,topology_full,gate_coupled,Blood_BoneMarrow,acc,0.01218304705325246
topology_affinity_increment,topology_full,gate_coupled,Human_Pancreas_1,acc,-0.00014607069821792606
topology_affinity_increment,topology_full,gate_coupled,Human_Pancreas_3,acc,-0.04052791403877598
topology_affinity_increment,topology_full,gate_coupled,Mouse_Pancreas_1,acc,-2.220446049250313e-16
topology_affinity_increment,topology_full,gate_coupled,PRJNA895163,acc,0.013014423713113732
