algorithm,dataset_idx,dataset_name,dataset_type,acc,nmi,ari,time
birch,61,water_quality.npz,tabular,0.560915,0.000659,0.005003,0.257959
birch,62,insurance_company_benchmark.npz,tabular,0.773446,0.014269,0.060524,1.915079
birch,63,harbermans_survival.npz,tabular,0.741830,0.039731,0.105028,0.007527
birch,64,yeast.npz,tabular,0.512680,0.297089,0.231170,0.209306
birch,65,heart_disease.npz,tabular,0.404040,0.163837,0.147498,0.036673
birch,66,ecoli.npz,tabular,0.825688,0.706729,0.741324,0.012147
birch,67,extyaleb.npz,tabular,0.915361,0.804602,0.793151,0.042218
birch,68,breast_cancer_coimbra.npz,tabular,0.534483,0.026782,-0.005865,0.012621
birch,69,student_grade.npz,tabular,0.655696,0.202753,0.085726,0.047552
birch,70,human_stress_detection.npz,tabular,0.831584,0.712453,0.634256,0.058201
birch,71,fraud_detection_bank.npz,tabular,0.734473,0.000457,0.000353,5.369645
birch,72,pen_based_recognition_of_handwritten_digits.npz,tabular,0.753803,0.782487,0.645478,2.065161
birch,73,diabetic_retinopathy_debrecen.npz,tabular,0.533449,0.006260,0.003321,0.083651
birch,74,pistachio.npz,tabular,0.803538,0.309427,0.368222,0.238234
