scope,left,right,metric,n,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_p,paired_t_p
vehicle,V11_tda_random,V11_full,final_gate,3,9.092479012906551e-05,3.3605145290493965e-05,0.0001584242714019181,2,0,1,0.5,0.42493519982690353
vehicle,V11_tda_random,V11_full,mean_gate,3,0.0005520278917780768,0.001387126371264459,0.0016414380561796068,2,0,1,0.5,0.6191504621005876
vehicle,V11_tda_random,V11_full,mean_graph_loss,3,0.0037702617696292406,0.004658148593443913,0.0016630348555290136,3,0,0,0.25,0.05915777161873317
ALL,V11_tda_h0_mst,V11_tda_fixed_filtration,head_ari,15,7.572654284606027e-06,0.0,0.00019984783792375915,1,12,2,1.0,0.8854173835890214
ALL,V11_tda_h0_mst,V11_tda_fixed_filtration,kmeans_ari,15,-6.067969741430368e-05,0.0,0.0008191510343566474,2,11,2,1.0,0.7783939785217481
ALL,V11_tda_h0_mst,V11_tda_fixed_filtration,nmi,15,-2.503694501651034e-06,0.0,0.00015737489744478887,1,12,2,1.0,0.9517398643418112
ALL,V11_tda_h0_mst,V11_tda_fixed_filtration,silhouette,15,6.803572177886963e-05,6.571412086486816e-05,0.00037952367710520474,9,0,6,0.207763671875,0.4988576639665095
ALL,V11_tda_h0_mst,V11_tda_fixed_filtration,final_gate,15,-6.483304314315331e-05,-7.399225917955254e-05,0.0004469882583450779,6,0,9,0.30279541015625,0.5831657971980354
ALL,V11_tda_h0_mst,V11_tda_fixed_filtration,mean_gate,15,0.0006853185014592283,0.00019559300465819655,0.0015711465701055863,9,0,6,0.1688232421875,0.11328777942771454
ALL,V11_tda_h0_mst,V11_tda_fixed_filtration,mean_graph_loss,15,0.0024633912716267832,0.0025838783127255793,0.0023345395356177525,13,0,2,0.00152587890625,0.0011105131706212214
balance_scale,V11_tda_h0_mst,V11_tda_fixed_filtration,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
balance_scale,V11_tda_h0_mst,V11_tda_fixed_filtration,kmeans_ari,3,-0.0008758951965185344,0.0,0.0015170949824756283,0,2,1,1.0,0.4226497308103743
balance_scale,V11_tda_h0_mst,V11_tda_fixed_filtration,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
balance_scale,V11_tda_h0_mst,V11_tda_fixed_filtration,silhouette,3,0.00010523696740468343,0.00016680359840393066,0.0001325855587362984,2,0,1,0.5,0.3029610599509552
balance_scale,V11_tda_h0_mst,V11_tda_fixed_filtration,final_gate,3,-2.7937038491169613e-05,-3.457992958525802e-05,4.971067460908883e-05,1,0,2,0.5,0.4330250459258378
balance_scale,V11_tda_h0_mst,V11_tda_fixed_filtration,mean_gate,3,0.0007540413670034883,0.0005059895707139155,0.0008019328768708765,3,0,0,0.25,0.2449421225057383
balance_scale,V11_tda_h0_mst,V11_tda_fixed_filtration,mean_graph_loss,3,0.0008189696230046032,0.0005242263626617713,0.0009277335744608298,3,0,0,0.25,0.2658757121848808
spect_heart,V11_tda_h0_mst,V11_tda_fixed_filtration,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_h0_mst,V11_tda_fixed_filtration,kmeans_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_h0_mst,V11_tda_fixed_filtration,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_h0_mst,V11_tda_fixed_filtration,silhouette,3,0.00021199385325113931,0.0002282559871673584,0.00013886466976597726,3,0,0,0.25,0.11819886711581525
spect_heart,V11_tda_h0_mst,V11_tda_fixed_filtration,final_gate,3,-0.00019148566449681917,-0.0003411401994526386,0.0003252672146737252,1,0,2,0.5,0.41515556966674794
